Class Name,Average Fields,Referred Classes,Total Methods,Average Methods,Average Parameters,Average Constructors,Average Parameters per Constructor
java.lang.Object,0.0,1,9,9.0,0.4444444444444444,1.0,0.0
android.app.Activity,9.016194331983806,247,5849,23.68016194331984,0.9680287228586083,0.8623481781376519,0.3733371891266628
